amenity,building,name,geometry,latitude,longitude
,residential,Haydon Manor,POINT (77.6046266 12.9563674),12.9563674,77.6046266
,apartments,Kristal Citrine,POINT (77.7232903 13.001016),13.001016,77.7232903
,apartments,Jayanti Apartments,POINT (77.5673384 13.0034478),13.0034478,77.5673384
,apartments,Maithree Apartments,POINT (77.5669909 13.0045938),13.0045938,77.5669909
bus_station,public,Srinagar Bus Station,POINT (77.5546637 12.9444378),12.9444378,77.5546637
,public,Rajaji Nagar RTO,POINT (77.5542437 12.993913),12.993913,77.5542437
school,yes,Ubhaya Vedanta Pravarthana Sabha,POINT (77.5701799 13.0008128),13.0008128,77.5701799
place_of_worship,yes,Mahaganapathi Temple,POINT (77.5701424 13.000358),13.000358,77.5701424
police,yes,Hebbal Police Station,POINT (77.5896244 13.0386192),13.0386192,77.5896244
,yes,HOPCOMS,POINT (77.6428583 12.9790062),12.9790062,77.6428583
,yes,Lightspro,POINT (77.7130743 12.954487),12.954487,77.7130743
,yes,EKBOTE Furnitures,POINT (77.6516302 12.9682255),12.9682255,77.6516302
,yes,Crystal Apartments,POINT (77.6081197 12.9110004),12.9110004,77.6081197
,yes,Crytal Apartments,POINT (77.6070575 12.9103364),12.9103364,77.6070575
,yes,Anusiya Chandrappa Community Hall,POINT (77.5488163 13.0837858),13.0837858,77.5488163
,yes,HP Labs and HP India Sales,POINT (77.6103293 12.9373617),12.9373617,77.6103293
,yes,Gandhi Bhavan,POINT (77.5109533 12.9490968),12.9490968,77.5109533
,yes,Ganesh Wood Timber,POINT (77.5163231 12.93668),12.93668,77.5163231
,yes,BSNL Vidhyaranyapura Office,POINT (77.5605956 13.0808414),13.0808414,77.5605956
,yes,Chandana Palace,POINT (77.5594055 13.0797801),13.0797801,77.5594055
place_of_worship,temple,Ganapati Temple,POINT (77.5924251 12.9177491),12.9177491,77.5924251
,yes,Sports Complex,POINT (77.566009 12.9406952),12.9406952,77.566009
,yes,NDS Services Pay-TV Tecnology Pvt Ltd,POINT (77.6282527 12.9374443),12.9374443,77.6282527
,yes,Venkateshwara Temple,POINT (77.5471739 12.9411483),12.9411483,77.5471739
,yes,Hanuman Temple,POINT (77.5471954 12.9410125),12.9410125,77.5471954
,yes,Padmashree apartments ASR,POINT (77.624011 12.9365256),12.9365256,77.624011
,yes,Tanay Residency,POINT (77.623977 12.9363836),12.9363836,77.623977
,yes,NIIT,POINT (77.6139315 12.9353733),12.9353733,77.6139315
,yes,Ram Mandir,POINT (77.5690289 12.9372011),12.9372011,77.5690289
,yes,Electronic City RTO,POINT (77.6589309 12.8707266),12.8707266,77.6589309
,office,BESCOM,POINT (77.590697 12.9141661),12.9141661,77.590697
,yes,NIIT Technologies,POINT (77.6242633 12.9151861),12.9151861,77.6242633
,yes,K P N Travels,POINT (77.6335974 12.9000224),12.9000224,77.6335974
,yes,iCreate Software,POINT (77.6248941 12.9358495),12.9358495,77.6248941
,Retail Shop,Wildcraft,POINT (77.5708696 13.0293391),13.0293391,77.5708696
,public,HSR BSNL Telephone Exchange,POINT (77.6367348 12.9148582),12.9148582,77.6367348
,yes,LIC,POINT (77.6330933 12.9265326),12.9265326,77.6330933
,yes,BSNL Customer Service Centre,POINT (77.5691572 12.9382043),12.9382043,77.5691572
,yes,New DLF Town,POINT (77.6179883 12.8760328),12.8760328,77.6179883
,yes,Lake view Apartments,POINT (77.5780462 12.9337875),12.9337875,77.5780462
,yes,289,POINT (77.6294137 12.9188042),12.9188042,77.6294137
,yes,Maruti Driving School,POINT (77.5496937 13.0242516),13.0242516,77.5496937
,yes,Mafatlal playwood,POINT (77.5487549 13.0262951),13.0262951,77.5487549
,yes,Kemwell Pvt. Ltd.,POINT (77.5445706 13.0258299),13.0258299,77.5445706
,yes,Manipal Apparels,POINT (77.5405259 13.0277271),13.0277271,77.5405259
,yes,Prakash Clinic,POINT (77.539442 13.027027),13.027027,77.539442
,yes,Shiv Enterprizes,POINT (77.5390185 13.0275546),13.0275546,77.5390185
,yes,Chief Engineer Air Force,POINT (77.5405068 13.0323523),13.0323523,77.5405068
